stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type
219405,Dürkheimer Straße,49.492348,8.368626,,0
234045,BASF Friesenh. Insel,49.52174,8.446591,,0
218806,Eschenbachstraße,49.499223,8.424793,,0
127201,Kolbenzeil,49.373791,8.68157,,0
127202,Kolbenzeil,49.373845,8.681921,,0
127203,Kolbenzeil,49.37381,8.68166,,0
61706,Thomas-Mann-Straße,49.466284,8.600419,,0
61705,Thomas-Mann-Straße,49.466311,8.600497,,0
252301,Carl-Benz-Stadion,49.477829,8.502208,,0
245212,Pestalozzischule,49.478772,8.482164,,0
245211,Pestalozzischule,49.478551,8.482306,,0
281402,Maxdorf Süd,49.476561,8.289268,,0
281401,Maxdorf Süd,49.476377,8.289276,,0
65602,Ellerstadt Ost,49.464151,8.264612,,0
65601,Ellerstadt Ost,49.464052,8.264288,,0
114001,Alter Kohlhof,49.388087,8.731164,,0
114002,Alter Kohlhof,49.388386,8.731151,,0
82305,FT Schmiedgasse,49.53692,8.35503,,0
118602,Rohrbacher Grenzweg,49.396061,8.697018,,0
118601,Rohrbacher Grenzweg,49.396195,8.696955,,0
680306,Irisstraße,49.458961,8.371937,,0
680305,Irisstraße,49.458819,8.372251,,0
110901,Moselbrunnenweg,49.422549,8.760691,,0
110902,Moselbrunnenweg,49.422184,8.760492,,0
261805,Föhrenweg,49.537215,8.499652,,0
261806,Föhrenweg,49.53711,8.500046,,0
617301,Kompostwerk,49.435814,8.640013,,0
569805,Dortmunder Straße,49.418785,8.515381,,0
248702,Friedrichstraße,49.45324,8.495519,,0
248701,Friedrichstraße,49.453625,8.495132,,0
248706,Friedrichstraße,49.453778,8.494304,,0
248705,Friedrichstraße,49.453295,8.495101,,0
214202,Wollstraße,49.48583,8.39706,,0
214201,Wollstraße,49.485834,8.396974,,0
113606,Hans-Thoma-Platz,49.42816,8.68266,,0
257206,Brockenweg,49.557011,8.479963,,0
119411,Stadtwerke,49.404912,8.681323,,0
119412,Stadtwerke,49.405027,8.682359,,0
204006,Schopenhauerstraße,49.496447,8.426761,,0
120005,Albert-Fritz-Str.,49.38409,8.672132,,0
120002,Albert-Fritz-Str.,49.38318,8.67236,,0
120001,Albert-Fritz-Str.,49.38286,8.67219,,0
221805,Bliesstraße,49.479409,8.42266,,0
221806,Bliesstraße,49.479226,8.422357,,0
557505,Haus Waldhof,49.525912,8.486049,,0
557506,Haus Waldhof,49.52539,8.485847,,0
262606,Waldhof Nord,49.53255,8.481111,,0
262607,Waldhof Nord,49.532747,8.481208,,0
262602,Waldhof Nord,49.531195,8.481021,,0
262601,Waldhof Nord,49.53062,8.48143,,0
233806,Dürstelschlag,49.510804,8.452373,,0
233805,Dürstelschlag,49.51075,8.452392,,0
253505,Leutweinstraße,49.419743,8.53028,,0
69702,Eppelheim Rathaus,49.401611,8.629096,,0
253506,Leutweinstraße,49.42012,8.528363,,0
257205,Brockenweg,49.557194,8.479832,,0
235605,Käfertal DB-Bahnhof,49.502901,8.503573,,0
128002,Adlerüberfahrt,49.416056,8.755049,,0
128001,Adlerüberfahrt,49.41612,8.756123,,0
260601,Vogelstang,49.511757,8.543754,,0
236606,Maximilianstraße,49.48251,8.485707,,0
236605,Maximilianstraße,49.482487,8.485358,,0
254405,Rheinau Karlsplatz,49.438972,8.522802,,0
113101,Otto-Hahn-Str.,49.365874,8.705096,,0
113102,Otto-Hahn-Str.,49.36602,8.70476,,0
204505,Kallstadter Straße,49.464225,8.401484,,0
204506,Kallstadter Straße,49.464351,8.400916,,0
707802,Hildastr.,49.401527,8.634592,,0
707801,Hildastr.,49.402157,8.634945,,0
604105,MA Rathaus/REM,49.488982,8.462821,,0
291106,Pfalzburger Straße,49.443069,8.573245,,0
252805,Fr.-Nansen-Weg,49.412715,8.540878,,0
604106,MA Rathaus/REM,49.489253,8.462325,,0
211506,Maudach Ortsmitte,49.454158,8.379173,,0
211505,Maudach Ortsmitte,49.454016,8.378336,,0
243005,Landgüterhalle,49.496202,8.450219,,0
269605,G.-Heieck-Str.(Melm),49.510326,8.384058,,0
347920,Schriesheim Bahnhof,49.47147,8.660478,,0
113211,Biethsstr.,49.42987,8.68252,,0
113212,Biethsstr.,49.43068,8.68251,,0
851805,Moll-Gym. 1/Belchens.,49.463355,8.469382,,0
256002,Hanfstraße,49.538613,8.450919,,0
256001,Hanfstraße,49.538181,8.451201,,0
217905,Ostringplatz,49.532696,8.389953,,0
256006,Hanfstraße,49.538363,8.451229,,0
217907,Ostringplatz,49.533777,8.389395,,0
217906,Ostringplatz,49.532613,8.389915,,0
217909,Ostringplatz,49.532756,8.389399,,0
217908,Ostringplatz,49.532837,8.390892,,0
251905,Lucas-Cranach-Straße,49.478464,8.512511,,0
133402,Sandwingert,49.418794,8.644378,,0
133401,Sandwingert,49.41897,8.64437,,0
112501,Im Eichwald,49.372391,8.70622,,0
231501,Feudenheim,49.48404,8.53763,,0
209806,Bayreuther Straße,49.477777,8.419753,,0
209805,Bayreuther Straße,49.477726,8.419556,,0
232705,Elsa-Brändström-Str.,49.45021,8.56537,,0
231505,Feudenheim,49.48411,8.53782,,0
238608,Luzenberg,49.516266,8.475291,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
238604,Luzenberg,49.516369,8.475047,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
238607,Luzenberg,49.51652,8.47567,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
238601,Luzenberg,49.516102,8.47573,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
238603,Luzenberg,49.515999,8.475233,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
238602,Luzenberg,49.516553,8.476495,http://www.rnv-online.de/liniennetz/wichtige-umsteigepunkte.html,0
247305,Verl. Jungbuschstr.,49.494697,8.452222,,0
298602,Neckargemünd Bf,49.394106,8.787199,,0
298601,Neckargemünd Bf,49.394064,8.787335,,0
214105,Schillerschule,49.460075,8.427649,,0
114901,Rudolf-Diesel-Str.,49.395987,8.677795,,0
114903,Rudolf-Diesel-Str.,49.395962,8.677784,,0
114902,Rudolf-Diesel-Str.,49.39688,8.67906,,0
114906,Rudolf-Diesel-Str.,49.39612,8.67719,,0
114908,Rudolf-Diesel-Str.,49.3968,8.67908,,0
214106,Schillerschule,49.459721,8.42772,,0
268005,Gotenstraße,49.49971,8.555243,,0
115235,Czernybrücke Süd,49.40528,8.66756,,0
252112,Duale Hochschule,49.475246,8.534548,,0
284905,Heinrich-Halfen-Str.,49.507628,8.380771,,0
248505,Sandhofen Rathaus,49.545011,8.443168,,0
214905,Bexbacher Straße,49.492077,8.397346,,0
214906,Bexbacher Straße,49.492069,8.39822,,0
